dataset,feature_set,model,acquisition,mean_alc_mape,median_alc_mape,sd_trial_alc_mape,mean_alc_area_mape_fraction,n_trials,min_checkpoints,max_checkpoints
ISU_ILCC,set5_features_metadata_corr95,GPR,diversity_iterative,20.512025001729302,20.77169946527726,4.026898159814846,8.502393783100228,10,6,6
ISU_ILCC,set5_features_metadata_corr95,GPR,diversity_oneshot,20.94180811132366,21.4390263407509,4.463139746171556,8.680542222310326,10,6,6
ISU_ILCC,set5_features_metadata_corr95,GPR,exploitation,25.24316341828826,24.26993362585518,8.382875747274221,10.463487427269744,10,6,6
ISU_ILCC,set5_features_metadata_corr95,GPR,exploration,20.965063997293488,21.097931557549174,3.0195476474298553,8.690181967790044,10,6,6
ISU_ILCC,set5_features_metadata_corr95,GPR,hybrid,20.146669008026826,20.729608880101488,3.845958465925679,8.350950884156195,10,6,6
ISU_ILCC,set5_features_metadata_corr95,GPR,random_selection,21.95433789773805,21.421584159273092,3.9611264371023416,9.100243688181573,10,6,6
ISU_ILCC,set5_features_metadata_corr95,RF,coverage,25.56657446923441,25.622570304498694,4.1932972900002214,10.597543821444313,10,6,6
ISU_ILCC,set5_features_metadata_corr95,RF,diversity_iterative,25.84454980571105,27.231238488702964,5.032880177713945,10.712766758843959,10,6,6
ISU_ILCC,set5_features_metadata_corr95,RF,diversity_oneshot,25.216794459573357,25.7415140595006,4.357984865668566,10.452557288942323,10,6,6
ISU_ILCC,set5_features_metadata_corr95,RF,exploitation,27.356430757099737,28.48953325218158,4.361309939377495,11.339453163564656,10,6,6
ISU_ILCC,set5_features_metadata_corr95,RF,exploration,26.367534723359018,25.901046346434768,6.18114574031336,10.929548071858658,10,6,6
ISU_ILCC,set5_features_metadata_corr95,RF,hybrid,24.537745352984736,25.421515047689716,4.067065341898518,10.171086156677607,10,6,6
ISU_ILCC,set5_features_metadata_corr95,RF,random_selection,25.62716913607296,26.240827784033403,4.9165181726458735,10.6226607817919,10,6,6
KIT,set1_dQn_m,AE_ENet,coverage,26.26786177994927,27.984987985828674,7.1858828090739655,9.55194973816337,10,5,5
KIT,set1_dQn_m,AE_ENet,diversity_iterative,26.67129207801192,25.728381061124402,9.520974778957807,9.698651664731605,10,5,5
KIT,set1_dQn_m,AE_ENet,diversity_oneshot,23.791767699633954,20.190793503101467,8.644737531989447,8.65155189077598,10,5,5
KIT,set1_dQn_m,AE_ENet,exploitation,27.534984578095116,26.785905546671884,9.721633462170418,10.012721664761859,10,5,5
KIT,set1_dQn_m,AE_ENet,exploration,24.411426102727425,21.131686113796018,8.405493169850669,8.876882219173607,10,5,5
KIT,set1_dQn_m,AE_ENet,hybrid,22.59463645780676,20.044840672853056,7.731639203734257,8.216231439202456,10,5,5
KIT,set1_dQn_m,AE_ENet,random_selection,27.392455400555935,27.882228831774967,7.488875322144746,9.96089287292943,10,5,5
KIT,set1_dQn_m,GPR,coverage,37.19357082146995,34.994865013842144,7.611913508867842,13.524934844170886,10,5,5
KIT,set1_dQn_m,GPR,diversity_iterative,36.007203921300786,36.98074098014864,7.81032348033072,13.093528698654827,10,5,5
KIT,set1_dQn_m,GPR,diversity_oneshot,31.826781824498006,32.472818622188186,3.595270388770297,11.573375208908363,10,5,5
KIT,set1_dQn_m,GPR,exploitation,32.69650151645659,35.44889600097862,6.143369306129437,11.889636915075124,10,5,5
KIT,set1_dQn_m,GPR,exploration,32.409102253700006,32.99526830364555,6.738629279512823,11.785128092254546,10,5,5
KIT,set1_dQn_m,GPR,hybrid,33.43866516572911,34.43551401392784,5.236256367742463,12.159514605719675,10,5,5
KIT,set1_dQn_m,GPR,random_selection,30.83397787526378,30.777854682017477,9.186808476373653,11.21235559100501,10,5,5
KIT,set1_dQn_m,RF,coverage,33.86755219901019,32.5516796602806,3.9810357530603886,12.315473526912793,10,5,5
KIT,set1_dQn_m,RF,diversity_iterative,35.79590522925361,35.83875554224619,6.542331039013682,13.016692810637675,10,5,5
KIT,set1_dQn_m,RF,diversity_oneshot,31.302828465448023,30.90989056035839,3.894371222978603,11.382846714708371,10,5,5
KIT,set1_dQn_m,RF,exploitation,34.74796066358416,32.382781896232785,10.415676680582326,12.635622059485149,10,5,5
KIT,set1_dQn_m,RF,exploration,33.49439697307392,33.67634880258835,5.877213797211814,12.179780717481425,10,5,5
KIT,set1_dQn_m,RF,hybrid,34.90507323848779,34.44555773939574,4.614845757308929,12.692753904904647,10,5,5
KIT,set1_dQn_m,RF,random_selection,36.39214277407756,35.69848944346242,9.833227970488066,13.23350646330093,10,5,5
KIT,set2_early_soh,AE_ENet,coverage,31.611857442366624,29.957865973506742,6.155097366996693,11.495220888133316,10,5,5
KIT,set2_early_soh,AE_ENet,diversity_iterative,27.75895347809928,27.14614429075329,3.5138619143657808,10.09416490112701,10,5,5
KIT,set2_early_soh,AE_ENet,diversity_oneshot,31.457085954203905,30.85475879963574,6.5376936013439355,11.438940346983236,10,5,5
KIT,set2_early_soh,AE_ENet,exploitation,29.71011490426131,29.134072855579355,5.88890598303303,10.803678147004112,10,5,5
KIT,set2_early_soh,AE_ENet,exploration,31.894861616826432,28.461962751635888,11.519254393350693,11.598131497027792,10,5,5
KIT,set2_early_soh,AE_ENet,hybrid,33.02479494891419,30.96790967426825,9.381481136149295,12.009016345059704,10,5,5
KIT,set2_early_soh,AE_ENet,random_selection,30.155110794436677,30.3002895121539,3.6545409660286463,10.965494834340609,10,5,5
KIT,set2_early_soh,GPR,coverage,37.26179907241337,34.84392512323426,10.089940313516534,13.54974511724122,10,5,5
KIT,set2_early_soh,GPR,diversity_iterative,31.184129166410496,30.685045770332422,6.391238264504295,11.339683333240178,10,5,5
KIT,set2_early_soh,GPR,diversity_oneshot,35.06997823263018,32.79883290455639,7.447659112023213,12.752719357320064,10,5,5
KIT,set2_early_soh,GPR,exploitation,38.080297129049534,37.869285670596845,11.95435708906205,13.84738077419983,10,5,5
KIT,set2_early_soh,GPR,exploration,41.24293906076793,37.78907206034148,9.581502020346047,14.997432385733791,10,5,5
KIT,set2_early_soh,GPR,hybrid,34.30684404383196,34.41267051213873,6.035740062790465,12.47521601593889,10,5,5
KIT,set2_early_soh,GPR,random_selection,33.56441095528977,31.69558620226821,6.605365618324773,12.2052403473781,10,5,5
KIT,set2_early_soh,RF,coverage,39.25466521331887,37.854875220255835,11.122152621666173,14.274423713934135,10,5,5
KIT,set2_early_soh,RF,diversity_iterative,40.58078119630291,39.68037226072778,10.843206954004177,14.756647707746513,10,5,5
KIT,set2_early_soh,RF,diversity_oneshot,41.25327448359546,38.42246518309656,10.951236377212915,15.001190721307438,10,5,5
KIT,set2_early_soh,RF,exploitation,42.61784832071102,40.801126539043295,12.314284327426016,15.497399389349459,10,5,5
KIT,set2_early_soh,RF,exploration,32.7502505052029,32.39394367658488,5.995135962629253,11.909182001891963,10,5,5
KIT,set2_early_soh,RF,hybrid,38.043444476926595,37.49033893384515,8.720524327053957,13.83397980979149,10,5,5
KIT,set2_early_soh,RF,random_selection,42.59145844487013,39.948977757252024,13.507722438957627,15.487803070861862,10,5,5
KIT,set3_features,AE_ENet,coverage,20.70680195340541,19.53644681153672,4.064080104509227,7.529746164874693,10,5,5
KIT,set3_features,AE_ENet,diversity_iterative,23.45727954039853,23.3761466195952,4.36301646268991,8.529919832872192,10,5,5
KIT,set3_features,AE_ENet,diversity_oneshot,21.305545089897475,20.262733914348388,5.983914822873035,7.747470941780899,10,5,5
KIT,set3_features,AE_ENet,exploitation,26.568146672712345,23.315480972419955,9.363026437901363,9.66114424462267,10,5,5
KIT,set3_features,AE_ENet,exploration,25.49831301097786,23.82651705492748,8.760285257918019,9.272113822173765,10,5,5
KIT,set3_features,AE_ENet,hybrid,24.835866235011416,21.667745787667826,11.472578384853618,9.031224085458696,10,5,5
KIT,set3_features,AE_ENet,random_selection,24.143023454634932,23.817508029743628,6.857362651978588,8.779281256230883,10,5,5
KIT,set3_features,GPR,coverage,20.8704848628016,21.592024217429575,3.8123599419264744,7.589267222836945,10,5,5
KIT,set3_features,GPR,diversity_iterative,22.58964861207051,21.475376580753398,4.346545735452342,8.214417677116547,10,5,5
KIT,set3_features,GPR,diversity_oneshot,19.677995961661846,17.28156550327978,5.238110994762373,7.1556348951497615,10,5,5
KIT,set3_features,GPR,exploitation,24.544621036869355,25.60414246359683,6.304299353232711,8.925316740679765,10,5,5
KIT,set3_features,GPR,exploration,21.030816679678132,21.45997534421042,3.8775366266081974,7.647569701701139,10,5,5
KIT,set3_features,GPR,hybrid,21.104409131048392,21.044533422012798,2.803974241999248,7.674330593108505,10,5,5
KIT,set3_features,GPR,random_selection,21.24583577086752,21.636725131613026,4.9951545117550955,7.725758462133642,10,5,5
KIT,set3_features,RF,coverage,26.147264924139723,24.50517057550187,4.060120536494165,9.508096336050807,10,5,5
KIT,set3_features,RF,diversity_iterative,25.601189206554004,24.803057040707962,4.769701440837221,9.30952334783782,10,5,5
KIT,set3_features,RF,diversity_oneshot,23.636173353599617,23.899132833554503,3.082227589435457,8.594972128581677,10,5,5
KIT,set3_features,RF,exploitation,26.980284684335498,26.337571606955677,5.283716601486179,9.811012612485635,10,5,5
KIT,set3_features,RF,exploration,25.479370203478204,25.148055847112886,5.42192457693719,9.265225528537528,10,5,5
KIT,set3_features,RF,hybrid,24.002147387202236,24.495171389941397,4.0210061276626705,8.728053595346267,10,5,5
KIT,set3_features,RF,random_selection,24.857890590691788,24.535997305253037,4.908831573677533,9.03923294206974,10,5,5
