dataset,acquisition,nfp_percent,trial,duration_unit,n_configurations,required_duration,required_pool_fraction_pct
ISU_ILCC,coverage,98,9,weeks,11,121.13969370039682,24.870466321243523
ISU_ILCC,coverage,98,10,weeks,13,267.8562189980159,49.740932642487046
ISU_ILCC,exploration,92,1,weeks,14,168.77649718915345,41.45077720207254
ISU_ILCC,exploration,92,2,weeks,13,218.4563140707672,41.45077720207254
ISU_ILCC,exploration,92,3,weeks,15,222.6295812665344,41.45077720207254
ISU_ILCC,exploration,92,4,weeks,15,278.99381365740743,49.740932642487046
ISU_ILCC,exploration,92,5,weeks,15,182.0417861276455,33.160621761658035
ISU_ILCC,exploration,92,6,weeks,13,193.32449735449737,49.740932642487046
ISU_ILCC,exploration,92,7,weeks,12,439.1256824570106,87.04663212435233
ISU_ILCC,exploration,92,8,weeks,15,324.6373350694445,58.03108808290155
ISU_ILCC,exploration,92,9,weeks,11,166.73886532738095,41.45077720207254
ISU_ILCC,exploration,92,10,weeks,13,237.0680493551588,41.45077720207254
ISU_ILCC,exploration,95,1,weeks,14,204.3703125,45.59585492227979
ISU_ILCC,exploration,95,2,weeks,13,246.2732146990741,49.740932642487046
ISU_ILCC,exploration,95,3,weeks,15,237.9288917824074,41.45077720207254
ISU_ILCC,exploration,95,4,weeks,15,278.99381365740743,49.740932642487046
ISU_ILCC,exploration,95,5,weeks,15,220.17110987103172,41.45077720207254
ISU_ILCC,exploration,95,6,weeks,13,193.32449735449737,49.740932642487046
ISU_ILCC,exploration,95,7,weeks,12,489.4133599950397,95.33678756476684
ISU_ILCC,exploration,95,8,weeks,15,324.6373350694445,66.32124352331607
ISU_ILCC,exploration,95,9,weeks,11,166.73886532738095,41.45077720207254
ISU_ILCC,exploration,95,10,weeks,13,237.0680493551588,41.45077720207254
ISU_ILCC,exploration,98,1,weeks,14,267.7516633597884,58.03108808290155
ISU_ILCC,exploration,98,2,weeks,13,279.3338306051587,58.03108808290155
ISU_ILCC,exploration,98,3,weeks,15,271.0138611937831,41.45077720207254
ISU_ILCC,exploration,98,4,weeks,15,278.99381365740743,49.740932642487046
ISU_ILCC,exploration,98,5,weeks,15,281.25679274140214,49.740932642487046
ISU_ILCC,exploration,98,6,weeks,13,193.32449735449737,49.740932642487046
ISU_ILCC,exploration,98,7,weeks,12,498.65271474041,95.33678756476684
ISU_ILCC,exploration,98,8,weeks,15,337.0228149801587,74.61139896373057
ISU_ILCC,exploration,98,9,weeks,11,166.73886532738095,41.45077720207254
ISU_ILCC,exploration,98,10,weeks,13,247.1535672949736,58.03108808290155
ISU_ILCC,exploitation,92,1,weeks,14,224.30445023148144,45.59585492227979
ISU_ILCC,exploitation,92,2,weeks,13,254.8033387070106,49.740932642487046
ISU_ILCC,exploitation,92,3,weeks,15,266.20110573743386,41.45077720207254
ISU_ILCC,exploitation,92,4,weeks,15,362.7536702215608,74.61139896373057
ISU_ILCC,exploitation,92,5,weeks,15,234.06553075396823,41.45077720207254
ISU_ILCC,exploitation,92,6,weeks,13,244.2473263888889,49.740932642487046
ISU_ILCC,exploitation,92,7,weeks,12,344.0235842427249,70.46632124352331
ISU_ILCC,exploitation,92,8,weeks,15,292.929496114418,58.03108808290155
ISU_ILCC,exploitation,92,9,weeks,11,374.5674466765873,74.61139896373057
ISU_ILCC,exploitation,92,10,weeks,13,227.081710896164,49.740932642487046
ISU_ILCC,exploitation,95,1,weeks,14,292.98837880291,58.03108808290156
ISU_ILCC,exploitation,95,2,weeks,13,259.57771453373016,49.740932642487046
ISU_ILCC,exploitation,95,3,weeks,15,317.4767534722222,58.03108808290155
ISU_ILCC,exploitation,95,4,weeks,15,362.7536702215608,74.61139896373057
ISU_ILCC,exploitation,95,5,weeks,15,380.7060007440476,74.61139896373057
ISU_ILCC,exploitation,95,6,weeks,13,258.55575066137567,49.740932642487046
ISU_ILCC,exploitation,95,7,weeks,12,344.0235842427249,70.46632124352331
