dataset,feature_set,regressor,target_transform,pool_holdout_split_mode,method,trial,budget_total,mape
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,4,32,10.543209115772052
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,4,40,13.243510319226443
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,4,48,8.797191686446586
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,4,56,9.125593405459728
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,4,64,9.811465757633965
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,4,72,9.647145688130546
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,4,80,9.021581210089831
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,4,88,8.503652009780431
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,4,96,8.60002153296701
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,4,99,8.663390063476035
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,5,8,15.62132178516536
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,5,16,16.496486624793192
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,5,24,13.747386231768257
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,5,32,12.924406817347082
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,5,40,11.303012508860402
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,5,48,11.304848617147512
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,5,56,11.020902428781266
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,5,64,12.294345285345718
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,5,72,11.849240780647296
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,5,80,11.226856847699482
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,5,88,11.282406830245495
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,5,96,11.792476922615563
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,5,99,11.959781275991462
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,6,8,27.90669268692104
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,6,16,19.23560844795712
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,6,24,19.832725537000385
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,6,32,15.891197683571642
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,6,40,16.01291915106616
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,6,48,14.297671392863808
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,6,56,14.442208094034047
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,6,64,15.201695014011843
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,6,72,14.090747409329897
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,6,80,13.589826115386316
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,6,88,13.60197540859377
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,6,96,14.29297493950363
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,6,99,14.587724857718593
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,7,8,22.28765616710294
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,7,16,19.21255001815113
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,7,24,12.66239214772053
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,7,32,13.533164165841225
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,7,40,11.98609939214182
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,7,48,14.004542103981022
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,7,56,13.265871641105528
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,7,64,12.261166346289588
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,7,72,11.440723545453382
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,7,80,10.523307857070012
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,7,88,10.92463092924692
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,7,96,10.575224812481112
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,7,99,11.308169057259754
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,8,8,18.763703554956503
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,8,16,15.050674017090532
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,8,24,12.497804216371122
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,8,32,14.012117189737674
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,8,40,12.36980279470088
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,8,48,12.623091942510015
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,8,56,12.161977240199336
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,8,64,12.170915035216357
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,8,72,12.427378770960107
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,8,80,12.344840318282795
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,8,88,12.269140599745583
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,8,96,12.209900788660368
